Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- MSBB run is 4-weekly from Oct to May (during beach season),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- MSBB run is 2-weekly from Jun to Sep (while beach is eroded),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Neighbourhood Loop (fortnightly) runs from Jun to Sep (while beach is eroded),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8159,728,512,669,308,9,217,543,182,88,47,623,67,291,454,107,0,710,38,188,403,0,0,144,173,57,34,0,706,288,25,0,288,261,0,,
,,,,cumulative,159,132,146,36,13,53,151,45,22,45,140,22,28,69,12,19,122,13,70,79,20,4,31,50,35,12,3,175,74,7,3,75,53,56,,
Pub hol,Special event,Attendance not recorded,,2025,88,80,82,5,12,29,99,25,12,40,80,15,0,24,0,19,55,9,51,39,20,4,17,31,29,8,3,106,46,4,3,46,26,26,,
,,,,2026,71,52,64,31,1,24,52,20,10,5,60,7,28,45,12,0,67,4,19,40,0,0,14,19,6,4,0,69,28,3,0,29,27,30,841,8463
Date,Meet,Run,Approx kms,Actual kms,Aaron,Adam,Alex 👑,Alex B,Alex Kr,Anna,Cam,Celeste,Chartt,Claire,Col,Dan,Dan B,Darren,Deano,Fraser,Grant,Jack,Joe,Kate B,Laura E,Laura K,Liam,Ming,Rhys,Rohan,Sam,Scott,Shane,Tarquin,Tim,Toby,Wes,+1's,,
"Fri, 2-Jan",Il Lido,Soft Sand,7.0,7.10,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,5,36
"Mon, 5-Jan",Drift,**Cruise,10.0,10.41,x,,x,,,,,,,,,,x,,,,,,x,x,,,,,,,,,x,,,x,,,7,73
"Wed, 7-Jan",Filament,Social,8.0,8.00,x,x,x,,,x,x,x,,x,,x,,,,,,,x,x,,,,,x,x,,x,x,x,,x,,2,18,144
"Fri, 9-Jan",Il Lido,Soft Sand,7.0,7.06,x,x,x,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,5,35
"Mon, 12-Jan",Drift,Cruise,10.0,10.42,x,,x,,,,,,,x,,,x,x,,,x,,x,x,,,,,,,,,x,,,x,,,10,104
"Wed, 14-Jan",Filament,Intervals,8.0,8.68,x,x,x,,x,x,x,x,,,,x,,x,,,x,,x,x,,,,,,,,x,,,,x,,,14,122
"Fri, 16-Jan",MSBB,River Loop,12.5,12.30,x,x,x,,,,x,,,,,,,,,,x,,,,,,,,,,,x,,,,x,,1,8,98
"Mon, 19-Jan",Drift,Intervals,10.0,10.85,x,,x,,,,,,,,,,x,x,,,x,,x,,,,x,,,,,,x,,,x,,,9,98
"Wed, 21-Jan",Filament,Lakes Loop,12.5,12.31,x,x,x,,,,x,x,,x,x,,,x,,,x,,x,,,,,,x,,,x,x,,,x,x,,15,185
"Fri, 23-Jan",Il Lido,Soft Sand,7.0,7.11,x,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,5,36
"Mon, 26-Jan",Filament,Half - Invasion Day,21.1,21.27,x,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,5,106
"Mon, 26-Jan",Filament,10k - Invasion Day,10.0,10.00,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,20
"Wed, 28-Jan",Filament,Intervals,8.0,8.77,x,x,x,x,,,,x,x,,x,,,,,,x,x,x,,,,,,,,,x,,,,x,x,,13,114
"Fri, 30-Jan",Il Lido,Soft Sand,7.0,7.08,x,x,,,,,,,,,x,,,,,,,,,,,,,x,,,,x,,,,,,,5,35
"Mon, 2-Feb",Drift,Intervals,10.0,11.00,,,,x,,,,,,,,,,,,,x,,x,x,,,,x,,,,,,,,x,,,6,66
"Wed, 4-Feb",Filament,Social,8.0,7.99,x,x,x,x,,x,,x,x,x,x,,,x,x,,x,,x,,,,,x,x,,,x,,,,x,,1,18,144
"Fri, 6-Feb",Il Lido,Soft Sand,7.0,7.06,x,x,,,,,,,,,x,,,,,,,,,,,,,x,,,,x,,,,,,,5,35
"Mon, 9-Feb",Drift,Cruise,10.0,10.02,,,x,x,,,,,,,,,x,x,,,x,,x,x,,,x,,,,,,,,,x,,,9,90
"Wed, 11-Feb",Filament,Intervals,8.0,8.26,x,x,x,,,x,,x,x,,x,,,x,x,,x,,,x,,,x,,,,,x,x,x,,x,,1,17,140
"Fri, 13-Feb",MSBB,River Loop,12.5,12.47,x,x,x,x,,,,,,,x,,,,,,x,,,x,,,,,,,,x,x,,,,,,9,112
"Mon, 16-Feb",Drift,Intervals,10.0,9.00,,,,x,,,,,,,,,x,,,,x,,,x,,,x,,,,,,,,,,,,5,45
"Wed, 18-Feb",Filament,Lakes Loop,12.5,12.34,x,x,x,x,,x,,,,,x,,,,,,x,,,x,,,x,,,,,x,,,,,x,1,12,148
"Fri, 20-Feb",Il Lido,Soft Sand,7.0,7.05,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,4,28
"Mon, 23-Feb",Drift,Cruise,10.0,10.45,x,,x,x,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,,,,6,63
"Wed, 25-Feb",Filament,Intervals,8.0,8.03,x,x,x,x,,x,x,x,,,x,,,,x,,x,,,x,,,,,x,,,x,,,,x,x,1,16,128
"Fri, 27-Feb",Il Lido,Soft Sand,7.0,7.08,,x,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,4,28
"Mon, 2-Mar",Drift,Intervals,10.0,10.00,,x,x,x,,,,,,,,,x,,,,x,,x,x,,,,,,,,x,,,,x,,,9,90
"Wed, 4-Mar",Filament,Social,8.0,8.00,x,x,x,x,,,x,x,x,,x,,,x,x,,x,,,x,,,,,,,,x,,,,x,x,,15,120
"Fri, 6-Mar",Il Lido,Soft Sand,7.0,7.07,x,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,4,28
